,CUI1,CUI2,vector
744,C1978822,C3148050,0.0737
745,C2361492,C2241090,0.2282
746,C3007910,C2282404,0.0328
747,C2991629,C1245708,0.1606
748,C1874037,C0190267,0.2054
749,C0342684,C1427755,0.1922
750,C2307115,C0614647,0.0656
751,C1257978,C2923301,0.2399
752,C2494752,C2332085,0.1488
753,C1426172,C0073337,0.1877
754,C0941713,C1824168,0.0930
755,C1854510,C1737290,0.3192
756,C0008163,C3043252,0.2662
757,C0908052,C0023049,0.0336
758,C0118092,C2784043,0.1154
759,C1857699,C0644277,0.1570
760,C0524953,C1035363,0.5669
761,C0376690,C1148284,0.6090
762,C0801517,C0505043,0.3069
763,C0797346,C2613456,0.0372
764,C2442038,C3483655,0.0718
765,C2776824,C1424985,0.3315
766,C1495639,C2518285,0.0790
767,C3209685,C2097384,0.0381
768,C0800096,C3760706,0.2307
769,C0242988,C0821194,0.3184
770,C1835909,C0073290,0.3913
771,C3585140,C0364872,0.1633
772,C2718031,C2378084,0.2873
773,C1184589,C0354177,0.0406
774,C0366492,C3011521,0.1057
775,C0333717,C2416949,0.2649
776,C3260519,C2788040,0.0418
777,C3858052,C3083343,0.0904
778,C0800404,C3153398,0.0000
779,C1640465,C4020958,0.0950
780,C1012407,C0331375,0.0180
781,C1345188,C0801126,0.1322
782,C2599219,C4006310,0.0903
783,C1857651,C0362867,0.2155
784,C2506860,C1187436,0.0098
785,C3180370,C1826694,0.1185
786,C3392053,C3271081,0.0105
787,C1824175,C1333991,0.1925
788,C2758334,C0271412,0.1422
789,C1426964,C0007144,0.1295
790,C0801857,C0015518,0.2612
791,C1308728,C2295897,0.0068
792,C0674425,C2774294,0.0000
793,C3174739,C3947639,0.0402
794,C0804038,C2404408,0.0490
795,C3719802,C0977715,0.0678
796,C3541239,C3320866,0.0527
797,C0245397,C3273111,0.1580
798,C1325026,C0804810,0.1453
799,C2610562,C3659990,0.1842
800,C0346156,C2326934,0.0777
801,C1180098,C0917875,0.4103
802,C3161083,C0808501,0.0403
803,C3386772,C0484956,0.0657
804,C2398467,C3321261,0.0620
805,C0277899,C3575447,0.0079
806,C2706744,C1067643,0.2390
807,C1979482,C1428267,0.3709
808,C0202823,C1714972,0.1995
809,C3540390,C2926225,0.0947
810,C0596263,C3084823,0.2639
811,C0800893,C0691010,0.0715
812,C1978879,C2554400,0.0756
813,C1302950,C0053961,0.0000
814,C4015701,C0943652,0.1633
815,C1822759,C0980172,0.0995
816,C3002835,C1384497,0.5636
